"";"n";"lambda";"p";"df";"method";"cov_2norm"
"307";1000;14;3;3;"PCA";1,56476728279937
"308";1000;14;3;3;"SPCA";0,173613480006779
"309";1000;14;3;5;"PCA";0,271948548112849
"310";1000;14;3;5;"SPCA";0,165399812159941
"311";1000;14;3;10;"PCA";0,119403835496623
"312";1000;14;3;10;"SPCA";0,166721570893523
"313";1000;15;3;3;"PCA";1,3086133855807
"314";1000;15;3;3;"SPCA";0,15413961338213
"315";1000;15;3;5;"PCA";0,199030901417048
"316";1000;15;3;5;"SPCA";0,159877688041027
"317";1000;15;3;10;"PCA";0,107147632021006
"318";1000;15;3;10;"SPCA";0,160726116741127
"319";1000;16;3;3;"PCA";1,1895895649235
"320";1000;16;3;3;"SPCA";0,154973122727373
"321";1000;16;3;5;"PCA";0,179644115315461
"322";1000;16;3;5;"SPCA";0,145565678368217
"323";1000;16;3;10;"PCA";0,10574675301239
"324";1000;16;3;10;"SPCA";0,14928926991127
"325";1000;17;3;3;"PCA";1,12494631791821
"326";1000;17;3;3;"SPCA";0,136474289218965
"327";1000;17;3;5;"PCA";0,192356237588331
"328";1000;17;3;5;"SPCA";0,13856182022334
"329";1000;17;3;10;"PCA";0,0979741508651135
"330";1000;17;3;10;"SPCA";0,144212779716318
"331";1000;18;3;3;"PCA";1,04509106919443
"332";1000;18;3;3;"SPCA";0,13855536740586
"333";1000;18;3;5;"PCA";0,171956150402774
"334";1000;18;3;5;"SPCA";0,128534224109911
"335";1000;18;3;10;"PCA";0,0849501668145538
"336";1000;18;3;10;"SPCA";0,134977336566684
"337";1000;19;3;3;"PCA";0,951604379811731
"338";1000;19;3;3;"SPCA";0,12840082915309
"339";1000;19;3;5;"PCA";0,185241181671838
"340";1000;19;3;5;"SPCA";0,132460476743571
"341";1000;19;3;10;"PCA";0,0838176667701588
"342";1000;19;3;10;"SPCA";0,124729509874043
"343";1000;20;3;3;"PCA";1,39642044178495
"344";1000;20;3;3;"SPCA";0,117732090489613
"345";1000;20;3;5;"PCA";0,153771347049677
"346";1000;20;3;5;"SPCA";0,124676366268567
"347";1000;20;3;10;"PCA";0,0757061443175414
"348";1000;20;3;10;"SPCA";0,116694381105412
"349";1000;21;3;3;"PCA";1,14607753499501
"350";1000;21;3;3;"SPCA";0,110767031978521
"351";1000;21;3;5;"PCA";0,142141006118036
"352";1000;21;3;5;"SPCA";0,108269865957457
"353";1000;21;3;10;"PCA";0,0743994110612605
"354";1000;21;3;10;"SPCA";0,108559357091667
"355";1000;22;3;3;"PCA";0,899047609838363
"356";1000;22;3;3;"SPCA";0,107096347287192
"357";1000;22;3;5;"PCA";0,131002115160661
"358";1000;22;3;5;"SPCA";0,114248164836284
"359";1000;22;3;10;"PCA";0,0715448722909468
"360";1000;22;3;10;"SPCA";0,108844532689111
"361";1000;23;3;3;"PCA";0,978736995146204
"362";1000;23;3;3;"SPCA";0,0993018377646593
"363";1000;23;3;5;"PCA";0,13007097112931
"364";1000;23;3;5;"SPCA";0,104092493381669
"365";1000;23;3;10;"PCA";0,0653425471140637
"366";1000;23;3;10;"SPCA";0,101191928873819
"367";1000;24;3;3;"PCA";0,823385949618338
"368";1000;24;3;3;"SPCA";0,0975980005224456
"369";1000;24;3;5;"PCA";0,115535643724409
"370";1000;24;3;5;"SPCA";0,100439867658581
"371";1000;24;3;10;"PCA";0,0676677159670576
"372";1000;24;3;10;"SPCA";0,0975182249851901
"373";1000;25;3;3;"PCA";0,770895810108034
"374";1000;25;3;3;"SPCA";0,0953053170803581
"375";1000;25;3;5;"PCA";0,111259007931549
"376";1000;25;3;5;"SPCA";0,0952243069809668
"377";1000;25;3;10;"PCA";0,0601585933098286
"378";1000;25;3;10;"SPCA";0,0987934286144065
"379";1000;26;3;3;"PCA";0,582359270772503
"380";1000;26;3;3;"SPCA";0,0935793940108294
"381";1000;26;3;5;"PCA";0,116099874129395
"382";1000;26;3;5;"SPCA";0,0898522348467274
"383";1000;26;3;10;"PCA";0,0534375152242114
"384";1000;26;3;10;"SPCA";0,0941173650250473
